year,MONTH,TOTAL ARRIVALS,CANADA,MEXICO,TOTAL OVERSEAS,EUROPE,LATIN AMERICA (EXCL MEXICO),ASIA,MIDDLE EAST,AFRICA,OCEANIA,FRANCE,GERMANY,IRELAND,ITALY,NETHERLANDS,RUSSIA,SPAIN,SWEDEN,SWITZERLAND,UNITED KINGDOM,INDIA,JAPAN,SOUTH KOREA,PRC (EXCL HK),ROC (TAIWAN),AUSTRALIA,ARGENTINA,BRAZIL,COLOMBIA,VENEZUELA
2015,JANUARY,"5,481,897","1,566,703","1,458,865","2,456,329","755,391","618,792","812,734","119,687","32,282","117,443","75,470","103,390","21,153","53,122","32,273","24,953","37,058","36,353","23,610","205,356","77,392","260,344","158,920","216,367","31,422","98,909","59,953","247,443","59,216","38,022"
2015,FEBRUARY,"4,881,351","1,419,693","1,188,731","2,272,927","843,736","523,172","744,592","57,532","23,846","80,049","107,706","115,439","23,084","47,575","36,192","14,731","34,714","41,498","24,926","249,338","52,220","290,745","118,487","200,563","31,862","67,356","53,065","170,666","40,938","32,980"
2015,MARCH,"6,154,941","2,077,077","1,260,888","2,816,976","1,202,380","588,052","785,024","95,093","35,726","110,701","106,757","204,295","37,331","67,060","43,620","19,502","62,996","49,254","34,531","377,854","67,583","348,405","112,599","149,611","29,984","93,624","62,974","156,403","68,539","50,010"
2015,APRIL,"6,502,575","1,922,648","1,537,584","3,042,343","1,388,622","612,704","771,546","88,216","40,582","140,673","201,939","183,897","34,609","79,061","71,558","21,457","56,476","59,785","59,539","412,778","97,329","258,651","131,509","159,613","29,156","114,322","56,563","179,716","56,023","50,838"
2015,MAY,"6,850,889","1,835,919","1,559,509","3,455,461","1,450,927","681,816","991,260","107,072","51,447","172,939","169,375","243,062","39,022","81,358","79,245","20,713","59,179","46,297","48,894","454,937","159,920","290,725","153,747","222,373","38,831","142,699","70,775","188,933","66,369","49,638"
2015,JUNE,"6,193,105","1,487,953","1,406,435","3,298,717","1,346,518","668,878","949,551","114,839","47,536","171,395","134,192","171,543","52,049","95,582","55,567","23,736","74,249","62,009","40,754","402,651","131,467","292,803","147,033","212,119","48,380","139,604","55,256","169,412","105,933","40,667"
2015,JULY,"7,832,770","2,165,136","1,592,250","4,075,384","1,699,549","848,181","1,106,409","179,156","67,206","174,883","226,088","215,758","46,658","109,198","113,900","23,366","77,843","43,561","77,930","499,944","114,113","328,121","175,018","316,382","53,345","136,396","81,601","212,047","85,433","49,918"
2015,AUGUST,"8,130,021","2,477,678","1,699,784","3,952,559","1,625,272","721,528","1,185,815","175,908","74,451","169,585","199,800","246,446","35,622","157,749","58,030","21,731","93,851","31,994","43,022","540,283","125,612","389,579","160,213","355,296","42,985","136,021","67,405","167,986","66,482","65,262"
2015,SEPTEMBER,"6,511,580","1,595,078","1,364,669","3,551,833","1,461,272","684,597","1,014,394","139,129","49,581","202,860","137,217","231,919","41,539","87,355","64,923","22,361","69,465","41,916","52,847","492,682","91,872","375,421","145,427","267,548","39,384","167,227","82,871","173,982","61,536","46,181"
2015,OCTOBER,"6,593,625","1,465,517","1,627,598","3,500,510","1,630,618","709,464","862,916","94,935","45,693","156,884","177,414","252,773","45,020","87,750","75,923","23,123","63,640","68,564","58,118","544,232","79,287","324,970","153,129","177,472","35,457","129,077","72,139","184,696","69,997","41,307"
2015,NOVEMBER,"6,045,992","1,427,385","1,795,617","2,822,990","1,172,486","660,688","756,628","81,792","35,255","116,141","107,247","168,588","39,635","77,372","50,975","19,551","56,924","47,062","35,832","383,447","59,667","302,369","145,358","144,571","30,730","96,745","60,462","145,480","68,906","47,338"
2015,DECEMBER,"6,331,536","1,263,914","1,921,719","3,145,903","1,122,517","894,313","835,303","89,988","53,626","150,156","109,406","134,710","34,410","96,215","43,805","25,792","66,428","58,039","36,581","337,321","69,321","296,164","163,431","169,418","29,266","128,133","68,841","222,119","104,252","78,572"
2014,JANUARY,"5,360,734","1,585,081","1,389,523","2,386,130","739,233","591,834","813,088","105,105","28,484","108,386","76,253","96,246","20,222","52,413","32,098","35,324","35,803","32,889","24,773","203,855","62,210","279,510","143,732","226,665","37,038","92,195","74,647","214,917","56,312","55,231"
2014,FEBRUARY,"4,643,961","1,470,587","1,119,624","2,053,750","818,095","499,183","584,056","53,349","22,257","76,810","104,268","108,642","23,558","47,417","35,055","22,318","34,133","35,815","26,020","243,467","44,550","267,695","83,188","120,276","21,650","65,209","63,361","152,093","38,591","53,668"
2014,MARCH,"5,870,581","2,201,883","1,196,035","2,472,663","1,019,610","517,694","732,991","78,686","31,625","92,057","120,361","153,726","29,166","63,060","42,085","33,737","46,477","42,241","31,514","296,436","59,358","355,771","96,083","125,539","26,079","78,363","50,926","164,894","51,533","42,110"
2014,APRIL,"6,476,574","2,050,595","1,426,660","2,999,319","1,397,429","657,815","686,589","85,593","38,990","132,903","182,485","199,183","35,518","86,979","65,501","32,949","65,350","60,328","57,743","399,420","80,753","243,707","107,279","138,043","25,619","109,573","62,708","194,974","77,284","57,351"
2014,MAY,"6,342,801","1,948,623","1,394,865","2,999,313","1,223,685","644,152","840,825","98,180","47,099","145,372","152,451","189,448","33,042","69,896","62,180","28,546","51,824","44,337","42,707","370,573","132,325","258,067","118,792","182,655","36,681","119,900","63,074","188,287","66,322","53,478"
2014,JUNE,"5,972,594","1,726,288","1,241,160","3,005,146","1,211,423","596,363","876,582","116,572","45,614","158,592","128,311","155,194","44,606","87,721","47,043","33,562","69,535","57,789","37,508","332,948","113,944","287,300","132,847","184,652","47,889","129,542","46,236","138,306","100,159","42,311"
2014,JULY,"7,391,200","2,334,314","1,479,570","3,577,316","1,487,936","739,033","998,018","141,149","59,819","151,361","207,667","189,279","35,816","100,262","96,354","32,514","76,530","41,775","70,940","396,806","101,235","313,823","147,524","278,644","53,379","116,691","64,599","180,544","81,648","45,265"
2014,AUGUST,"8,364,940","3,025,538","1,626,538","3,712,864","1,502,178","697,921","1,114,195","176,538","72,266","149,766","202,191","242,915","32,200","152,777","55,399","26,819","94,601","30,813","40,738","437,889","107,859","399,175","148,429","308,514","43,261","119,272","52,844","186,859","71,291","55,928"
2014,SEPTEMBER,"6,230,021","1,804,573","1,269,870","3,155,578","1,292,844","644,824","876,722","112,855","46,800","181,533","121,722","219,946","37,420","79,293","58,020","23,933","65,266","40,401","47,638","403,033","79,903","340,536","119,423","211,447","37,504","148,966","61,499","192,638","67,770","44,809"
2014,OCTOBER,"6,313,528","1,705,641","1,512,265","3,095,622","1,386,826","670,981","758,653","101,974","39,598","137,590","158,104","216,524","40,679","71,197","62,903","24,816","57,027","63,149","50,865","441,443","62,814","310,832","125,974","143,890","32,273","111,538","53,303","202,236","80,982","44,721"
2014,NOVEMBER,"5,803,917","1,657,604","1,634,122","2,512,191","993,381","645,255","664,347","70,973","31,677","106,558","93,830","144,786","36,943","62,712","41,513","20,458","51,543","42,052","31,668","308,318","54,484","283,056","104,510","122,826","27,170","88,898","42,678","186,678","77,987","48,116"
2014,DECEMBER,"6,240,229","1,492,328","1,779,586","2,968,315","1,088,628","849,175","751,246","84,526","49,513","145,227","110,702","140,603","30,797","89,813","44,060","28,659","59,644","60,407","37,535","314,941","62,698","280,752","132,157","146,630","25,726","124,025","48,913","261,570","111,395","73,049"
2013,JANUARY,"4,791,933","1,576,557","1,142,134","2,073,242","573,688","58,450","713,125","86,901","23,533","90,321","406,591","60,741","59,892","64,113","85,879","45,286","28,052","30,467","25,948","20,605","181,447","278,793","126,353","166,927","30,187","78,806","64,502","203,777","42,772","43,980"
2013,FEBRUARY,"4,358,182","1,487,878","911,111","1,959,193","680,862","47,038","638,316","46,853","18,067","70,384","344,223","50,713","62,737","85,228","99,162","40,931","32,201","31,525","30,088","23,746","226,760","315,340","87,099","120,068","28,076","60,925","55,817","136,483","34,104","45,338"
2013,MARCH,"5,839,819","2,315,431","974,675","2,549,713","1,032,824","61,045","697,862","75,257","27,639","94,889","411,247","62,776","86,174","106,321","180,323","58,661","36,790","54,843","44,980","36,083","348,180","365,071","86,039","99,206","22,714","83,480","70,383","149,853","61,464","60,118"
2013,APRIL,"5,602,462","2,018,798","1,156,032","2,427,632","1,035,962","72,179","621,428","64,726","30,035","113,443","361,932","53,233","74,694","171,914","150,380","67,248","61,110","47,187","42,126","46,981","307,837","247,124","89,045","111,087","23,956","94,560","52,398","155,305","43,368","44,926"
