country,year,arrival,spending
china,2008,493000,6086000000
china,2009,525000,6869000000
china,2010,802000,10249000000
china,2011,1089000,13925000000
china,2012,1474000,18152000000
china,2013,1807000,21624000000
china,2014,2190000,26317000000
china,2015,2591000,30178000000
australia,2008,690000,4306000000
australia,2009,724000,4393000000
australia,2010,904000,5937000000
australia,2011,1038000,6603000000
australia,2012,1122000,6368000000
australia,2013,1205000,7764000000
australia,2014,1304000,8540000000
australia,2015,1450000,9250000000
brazil,2008,769000,5121000000
brazil,2009,893000,5235000000
brazil,2010,1198000,7603000000
brazil,2011,1508000,9983000000
brazil,2012,1791000,11343000000
brazil,2013,2060000,12600000000
brazil,2014,2264000,14019000000
brazil,2015,2219000,14388000000
france,2008,1244000,4538000000
france,2009,1204000,4098000000
france,2010,1342000,4424000000
france,2011,1504000,5470000000
france,2012,1456000,5023000000
france,2013,1505000,5501000000
france,2014,1658000,6110000000
france,2015,1753000,6438000000
germany,2008,1782000,7167000000
germany,2009,1687000,5792000000
germany,2010,1726000,6585000000
germany,2011,1824000,7061000000
germany,2012,1876000,7464000000
germany,2013,1916000,7664000000
germany,2014,2056000,8272000000
germany,2015,2272000,8908000000
india,2008,599000,6718000000
india,2009,549000,6712000000
india,2010,651000,7155000000
india,2011,663000,7751000000
india,2012,724000,8092000000
india,2013,859000,8888000000
india,2014,962000,10016000000
india,2015,1126000,11805000000
japan,2008,3250000,14664000000
japan,2009,2918000,12636000000
japan,2010,3386000,14529000000
japan,2011,3250000,14591000000
japan,2012,3698000,17063000000
japan,2013,3730000,16984000000
japan,2014,3620000,17121000000
japan,2015,3758000,17249000000
south korea,2008,759000,5138000000
south korea,2009,744000,4624000000
south korea,2010,1108000,5788000000
south korea,2011,1145000,6026000000
south korea,2012,1251000,6048000000
south korea,2013,1360000,7108000000
south korea,2014,1460000,7398000000
south korea,2015,1765000,8117000000
uk,2008,4565000,16196000000
uk,2009,3899000,11581000000
uk,2010,3851000,12279000000
uk,2011,3835000,13050000000
uk,2012,3763000,13281000000
uk,2013,3835000,13462000000
uk,2014,4149000,14542000000
uk,2015,4901000,16240000000
